T,X,Y,Z
9864,-16,-12,-32
9866,72,84,52
9868,104,16,84
9870,-40,64,144
9872,-20,-24,-48
9874,24,-20,-40
9886,-32,48,92
9888,452,12,-268
9890,60,-76,-200
9892,-68,-12,-384
9894,32,196,864
9896,-120,-192,-4332
9898,-584,-144,3336
9900,-332,588,-12
9904,-240,-244,-668
9916,-40,-156,-984
9918,428,64,-584
9920,108,232,604
9922,-400,-348,-232
9924,-88,-312,-528
9926,-284,336,900
9928,-12,280,140
9930,368,-224,428
9942,24,84,756
9944,40,-232,276
9946,-44,-144,-212
9948,-96,240,-376
9950,12,132,-84
9952,36,-8,8
9954,-60,124,-16
9956,-80,-36,148
9968,-32,-96,-40
9970,-120,80,0
9972,-140,28,-200
9974,-20,-120,-200
9976,-24,116,-184
9978,20,-40,72
9980,40,-100,148
9982,-96,8,216
9994,0,-96,-52
9996,-32,152,824
9998,-208,72,1928
10002,180,-388,672
10004,-116,212,-144
10006,452,212,-80
10008,-444,-248,116
10010,128,200,-276
10012,-360,84,840
10014,328,20,-388
10026,-108,56,284
10028,-12,44,-192
10030,-36,-176,-108
10032,48,-104,-544
10034,-192,12,228
10036,20,104,-56
10038,4,-112,164
10040,20,-64,264
10052,-76,-48,224
10054,-64,-24,-72
10056,-92,-64,-168
