T,X,Y,Z
44383,-4,-44,-20
44385,36,48,-12
44387,-32,8,-72
44389,48,88,84
44401,-28,-20,76
44403,28,20,8
44405,0,120,112
44407,-40,-12,-28
44409,-8,-60,92
44411,224,-28,244
44413,180,-84,-408
44415,-448,224,4
44417,236,-212,-252
44429,-252,32,48
44431,-84,128,324
44433,-44,-64,-176
44435,188,104,-36
44439,-320,-68,548
44441,136,200,-256
44443,-244,-56,308
44445,72,-44,520
44447,-124,84,236
44459,60,-32,224
44461,172,-20,-212
44463,-12,-84,-32
44465,-16,-32,-320
44467,-140,12,52
44469,76,-20,88
44471,24,12,104
44473,-68,92,84
44475,12,-108,-32
44487,-40,112,192
44489,52,56,24
44491,32,-108,-44
44493,28,36,-284
44495,36,72,252
44497,84,32,-140
44499,-12,16,-8
44501,-16,-28,112
44503,32,-88,-308
44515,428,152,-744
44517,-200,-148,152
44519,156,-108,-2160
44521,-384,168,268
44525,236,-52,-332
44527,-104,-96,-28
44529,304,116,88
44531,-304,-172,316
44533,160,-28,-600
44545,-124,-52,208
44547,76,-92,304
44549,208,44,-52
44551,-168,-4,132
44553,96,8,364
44555,-32,12,52
44557,48,-36,-492
44559,-24,48,-32
44571,0,52,-124
44573,76,88,12
44575,-52,-8,144
