T,X,Y,Z
30140,32,12,-28
30142,8,8,-12
30144,40,68,28
30156,12,24,8
30158,52,-4,32
30160,4,32,-84
30162,-44,0,156
30164,12,12,196
30166,16,-12,60
30168,72,-20,40
30180,-1460,-204,-540
30182,-696,188,-1960
30184,1136,200,2088
30186,2868,308,1980
30188,1568,208,-1732
30200,2004,280,-352
30202,112,492,352
30204,-1464,-88,1292
30206,324,320,-1096
30208,1020,-140,1264
30212,748,76,828
30214,72,180,-516
30226,696,212,692
30228,364,-152,36
30230,-272,-96,440
30232,-332,312,-64
30234,-508,336,-1088
30236,-520,164,-56
30248,772,436,328
30250,224,-300,572
30252,-244,-164,404
30254,-44,224,644
30256,-64,252,-24
30258,140,324,-236
30270,292,-228,520
30272,-80,-540,532
30274,36,-220,-356
30276,120,176,-76
30278,304,200,428
30280,424,8,-1268
30292,512,-36,-16
30294,16,-40,24
30296,-348,32,228
30298,-460,172,-336
30300,-100,172,-240
30312,-200,4,64
30316,216,-160,60
30318,128,-204,176
30320,0,-120,20
30322,-164,-8,-12
30324,-40,-120,-48
30336,-108,-20,-52
30338,32,4,168
30340,236,-52,140
30342,236,-16,180
30344,-80,8,-304
30346,-80,100,-220
30358,168,80,52
30360,-56,28,-72
30362,-132,-4,-48
